unproc_x,unproc_y,unproc_z,lowpass_filtered_x,lowpass_filtered_y,lowpass_filtered_z,proc_x,proc_y,proc_z,model_output_0,model_output_1,model_output_2,model_output_3,output_class,contains_output
-6.680610656738281,-1.6677000522613525,1.3341600894927979,-9.614959716796875,-0.5266566276550293,1.657355546951294,-0.018455883488059044,-0.16125573217868805,-0.1918497383594513,0.0,0.0,0.0,0.0,0,0
-6.454980373382568,-1.5303601026535034,1.3832100629806519,-9.614556312561035,-0.5266227126121521,1.6534541845321655,0.020718805491924286,-0.18089129030704498,-0.14703845977783203,0.0,0.0,0.0,0.0,0,0
-6.611940383911133,-1.324350118637085,1.4518800973892212,-9.61417293548584,-0.5265699625015259,1.649570107460022,-0.00826632883399725,-0.19447024166584015,-0.1133013442158699,0.0,0.0,0.0,0.0,0,0
-6.867000579833984,-1.020240068435669,1.4911201000213623,-9.613809585571289,-0.5264984369277954,1.6457040309906006,-0.0655503123998642,-0.21942847967147827,-0.08500640839338303,0.0,0.0,0.0,0.0,0,0
-7.435980319976807,-0.4512600302696228,1.324350118637085,-9.6134672164917,-0.5264081358909607,1.6418569087982178,-0.083741195499897,-0.17520630359649658,-0.01572834886610508,0.0,0.0,0.0,0.0,0,0
-7.671420574188232,-0.3727800250053406,1.1968200206756592,-9.613144874572754,-0.5262991786003113,1.6380295753479004,-0.09541676193475723,-0.1284971684217453,0.014957040548324585,0.0,0.0,0.0,0.0,0,0
-7.828380584716797,-0.5003100633621216,1.05948007106781,-9.61284351348877,-0.5261717438697815,1.6342227458953857,-0.09132055938243866,-0.09895236790180206,0.017284132540225983,0.0,0.0,0.0,0.0,0,0
-7.897050380706787,-0.7848000526428223,0.8927100896835327,-9.61256217956543,-0.5260259509086609,1.6304373741149902,-0.074692003428936,-0.08782415837049484,0.010551371611654758,0.0,0.0,0.0,0.0,0,0
-8.054010391235352,-1.3341600894927979,0.7749900817871094,-9.612299919128418,-0.5258617997169495,1.6266742944717407,-0.09923534840345383,-0.03650826960802078,-0.06018240004777908,0.0,0.0,0.0,0.0,0,0
-8.2305908203125,-1.4715001583099365,0.7651800513267517,-9.612058639526367,-0.525679349899292,1.622934341430664,-0.10351382941007614,-0.027100510895252228,-0.06048499792814255,0.9870665669441223,0.003134244354441762,0.002752919914200902,0.007046268321573734,0,1
